sentence,currency,sentiment
ECB Reaction Fades as Markets Need More Details for Next Steer,EUR,neutral
Toronto New Home Prices Show Biggest 12-Month Fall Since 1996,CAD,negative
"*U.S. JOBLESS CLAIMS FALL 27,000 TO 206,000; EST. 226,000",USD,positive
U.S. Jobless Claims Fall to 12-Week Low Amid Tight Labor Market,USD,positive
*U.S. NOV. IMPORT PRICES RISE 0.7 % FROM PREVIOUS YEAR,USD,neutral
*U.S. NOV. IMPORT PRICES DECREASE 1.6 % FROM A MONTH EARLIER,USD,neutral
"*U.S. INITIAL JOBLESS CLAIMS AT 206,000 LAST WEEK",USD,neutral
*U.S. CONTINUING JOBLESS CLAIMS AT 1.661MLN TWO WEEKS AGO,USD,neutral
"*U.S. WHEAT TOTAL CROP EXPORT SALES 754,000 TONS LAST WEEK",USD,irrelevant
"*U.S. SOYBEAN OLD CROP EXPORT SALES 792,300 TONS LAST WEEK",USD,irrelevant
"*U.S. CORN OLD CROP EXPORT SALES 903,200 TONS LAST WEEK",USD,irrelevant
ECB PRESIDENT MARIO DRAGHI BRIEFS PRESS IN FRANKFURT: LIVE <GO>,EUR,neutral
*DRAGHI: WEAKER DATA REFLECT SOFTER EXTERNAL DEMAND,EUR,negative
*DRAGHI: INFLATION WILL CONTINUE CONVERGENCE AFTER BUYING ENDS,EUR,positive
*DRAGHI: UNCERTAINTIES FROM PROTECTIONISM REMAIN PROMINENT,EUR,negative
"*DRAGHI ALSO CITES EMERGING MARKETS, FIN VOLATILITY AS RISKS",EUR,negative
*DRAGHI: SIGNIFICANT STIMULUS STILL NEEDED TO SUSTAIN INFLATION,EUR,negative
*DRAGHI: UNDERLYING STRENGTH FUELS CONFIDENCE IN INFLATION,EUR,positive
*DRAGHI: ECB READY TO ADJUST ALL INSTRUMENTS AS APPROPRIATE,EUR,neutral
"*DRAGHI: REINVESTMENT, ENHANCED RATE GUIDANCE TO PROVIDE SUPPORT",EUR,neutral
*DRAGHI: GLOBAL GROWTH IS STILL SUPPORTING EURO-AREA EXPORTS,EUR,positive
*ECB SEES 2018 GDP GROWTH AT 1.9% VS 2.0%,EUR,negative
*ECB SEES 2019 GDP GROWTH AT 1.7% VS 1.8%,EUR,negative
*ECB SEES 2020 GDP GROWTH AT 1.7% VS 1.7%,EUR,negative
Draghi Sees Somewhat Slower Growth Momentum Ahead: TOPLive,EUR,negative
*ECB SEES 2021 GDP GROWTH AT 1.5%,EUR,negative
*DRAGHI: BALANCE OF RISK IS MOVING TO DOWNSIDE,EUR,negative
*DRAGHI SAYS THE BALANCE OF RISKS IS MOVING TO THE DOWNSIDE,EUR,negative
*DRAGHI: INFLATION TO DECREASE OVER COMING MONTHS,EUR,negative
*DRAGHI: UNDERLYING INFLATION REMAINS MUTED,EUR,negative
Draghi Says Balance of Risks Is Moving to the Downside: TOPLive,EUR,negative
Draghi Says the Balance of Risks Is Moving to the Downside,EUR,negative
*DRAGHI: UNDERLYING INFLATION TO INCREASE IN MEDIUM TERM,EUR,positive
*DRAGHI: RISING WAGE GROWTH TO UNDERPIN UNDERLYING INFLATION,EUR,positive
*ECB SEES 2018 INFLATION AT 1.8% VS 1.7%,EUR,positive
*ECB SEES 2019 INFLATION AT 1.6% VS 1.7%,EUR,negative
*ECB SEES 2020 INFLATION AT 1.7% VS 1.7%,EUR,neutral
*ECB SEES 2021 INFLATION AT 1.8%,EUR,positive
*ECB CUTS 2019 INFLATION FORECAST TO 1.6% VS 1.7%,EUR,negative
*ECB FORECASTS EURO-AREA INFLATION WILL AVERAGE 1.8% IN 2021,EUR,positive
"ECB Sees 2020 GDP Growth at 1.7%, Unchanged vs Previous Forecast",EUR,neutral
*DRAGHI: REFORM IMPLEMENTATION MUST BE STEPPED UP SUBSTANTIALLY,EUR,neutral
ECB Sees 2018 Inflation at 1.8% vs 1.7% in Earlier Forecast,EUR,positive
*DRAGHI: FURTHER INFORMATION ON REINVESTMENTS RELEASED 1530 CET,EUR,neutral
*DRAGHI: PSPP REDEMPTIONS TO BE REINVESTED IN SAME JURISDICTION,EUR,neutral
Euro Takes Measured Turn on Draghi's Emphasis on Downside Risks,EUR,negative
*DRAGHI: ECB TO BRING PSPP PORTFOLIO CLOSER IN LINE W/ CAP KEY,EUR,neutral
*DRAGHI: MONETARY POLICY REMAINS VERY ACCOMMODATIVE,EUR,negative
"ECB Forecasts Not Dovish, But Risks Are",EUR,negative
*DRAGHI: DRIVERS OF ECONOMIC RECOVERY ARE STILL IN PLACE,EUR,positive
*DRAGHI: TRADE SITUATION PROBABLY BETTER THAN TWO MONTHS AGO,EUR,positive
*DRAGHI: SITUATION IN SOME EMERGING MARKETS LESS DANGEROUS,EUR,positive
*DRAGHI: ECB DIDN'T DISCUSS SPECIFIC TIME FOR REINVESTMENTS,EUR,neutral
*DRAGHI: LONG-TERM LOANS WERE MENTIONED BY SOME GOVERNORS,EUR,negative
*DRAGHI: ECB HAS INSTRUMENTS TO ADDRESS ANY FUTURE DOWNTURN,EUR,neutral
Draghi Trying Hard To Cover Everything and Say Nothing,EUR,neutral
*DRAGHI: DECISION ON REINVESTMENTS WAS UNANIMOUS,EUR,negative
"*DRAGHI: WAGE GROWTH IS BROAD-BASED ACROSS COUNTRIES, SECTORS",EUR,positive
Draghi Sees Economic Risks Worsening Even as QE Era Concludes,EUR,negative
*DRAGHI: QE HAS BEEN ONLY DRIVER OF RECOVERY IN PARTS OF REGION,EUR,neutral
Draghi Won't Specify How Long Reinvestments to Continue: TOPLive,EUR,neutral
*DRAGHI: INVESTORS UNDERSTOOD ECB REACTION FUNCTION ON RATES,EUR,neutral
*DRAGHI: MONITORING HOW LOW RATES AFFECT BANK PROFITABILITY,EUR,neutral
*DRAGHI: ECB HASN'T DISCUSSED OTHER MONETARY POLICY TOOLS,EUR,neutral
*DRAGHI: ECB AWARE FACTORS AFFECTING EXCESS LIQUIDITY IN FUTURE,EUR,neutral
Draghi: ECB Monitoring How Low Rates Affect Bank Profitability,EUR,neutral
*DRAGHI: COMMITTEES WILL START WORK ON LIQUIDITY ISSUES,EUR,neutral
Credit Traders Hated Europe Credit Even Before ECB Tightening,EUR,neutral
*DRAGHI: QE IS PART OF ECB'S PERMANENT TOOLBOX,EUR,neutral
*DRAGHI: ECJ RULING ON QE VERY IMPORTANT FOR ECB,EUR,neutral
*ECB: CAPITAL KEY TO CONTINUE TO GUIDE PSPP PURCHASES,EUR,neutral
*ECB AIMS TO KEEP SIZE OF INDIVIDUAL PROGRAMS AS OF DEC. 2018,EUR,neutral
"*ECB: MAY SEE LIMITED DEVIATIONS IN SIZE, COMPOSITION OF BUYING",EUR,neutral
*ECB: ADJUSTMENT IN PSPP PORTFOLIO TOWARD CAP KEY TO BE GRADUAL,EUR,neutral
*ECB TO ADHERE TO PRINCIPLE OF MARKET NEUTRALITY W/ REINVESTMENT,EUR,neutral
*ECB: REINVESTMENTS TO BE DISTRIBUTED OVER YEAR,EUR,neutral
*ECB: REINVESTMENTS TO BE SPREAD TO KEEP MKT PRESENCE BALANCED,EUR,neutral
ECB Technical Assumptions for December Staff Projections,EUR,neutral
Fed Still on Track for Hike as Jobs Data Deepen 2019 Rate Debate,USD,positive
"*CANADA NOV. HOUSING STARTS AT ANNUAL RATE 215,941 UNITS",CAD,neutral
*CANADA OCT. BUILDING PERMITS FALL 0.2% VS. FORECAST -0.3% FALL,CAD,neutral
Fed Pot Shots at Davos Met With Big Bets on Interest-Rate Limbo,USD,neutral
Canada Retail Sales Fall More Than Expected on Cars and Gas,CAD,negative
ECB to Keep Rates Unchanged at Least Through Summer: TOPLive,EUR,negative
ECB Keeps Policy Unchanged as Euro-Area Economy Battles Slowdown,EUR,negative
Stocks Climb on Tech; Euro Drops as ECB Holds Rate: Markets Wrap,EUR,neutral
ECB Reiterates Plan to Keep Rates Unchanged Through Summer 2019,EUR,negative
"ECB Rates, Statement Unchanged; All Eyes on Draghi",EUR,neutral
ECB Presser Likely to Weigh on Euro and Flatten Curve: ABN Amro,EUR,negative
Draghi Faces Questions Over Growth as ECB Holds Rates: TOPLive,EUR,neutral
*U.S. CONTINUING JOBLESS CLAIMS AT 1.713MLN TWO WEEKS AGO,USD,neutral
"*U.S. INITIAL JOBLESS CLAIMS AT 199,000 LAST WEEK",USD,positive
"*U.S. JOBLESS CLAIMS FALL 13,000 TO 199,000; EST. 218,000",USD,positive
U.S. Jobless Claims Fall to 49-Year Low Despite Federal Shutdown,USD,positive
ECB PRESIDENT MARIO DRAGHI BRIEFS PRESS IN FRANKFURT: LIVE <GO>,EUR,neutral
*DRAGHI: INCOMING INFORMATION HAS BEEN WEAKER THAN EXPECTED,EUR,negative
"*DRAGHI: WEAKNESS DUE TO SOFTER EXPORT DEMAND, SECTOR SPECIFICS",EUR,negative
*DRAGHI: PERSISTENCE OF UNCERTAINTY IS WEIGHING ON SENTIMENT,EUR,negative
*DRAGHI: CITES GEOPOLITICAL FACTORS,EUR,neutral
*DRAGHI: CONFIDENT INFLATION WILL CONVERGE WITH ECB GOAL,EUR,positive
*DRAGHI: SIGNIFICANT STIMULUS STILL NEEDED TO SUSTAIN INFLATION,EUR,negative
*DRAGHI: WAGE GROWTH TO UNDERPIN EURO-AREA GROWTH,EUR,positive
*DRAGHI: ECB READY TO ADJUST ALL INSTRUMENTS AS APPROPRIATE,EUR,neutral
"*DRAGHI: REINVESTMENT, ENHANCED RATE GUIDANCE TO PROVIDE SUPPORT",EUR,neutral
*DRAGHI: NEAR-TERM GROWTH MOMENTUM WEAKER THAN ANTICIPATED,EUR,negative
"*DRAGHI: EMPLOYMENT, WAGE GAINS SUPPORT ECONOMY",EUR,positive
*DRAGHI: CITES PROTECTIONISM FOR CHANGED RISK ASSESSMENT,EUR,negative
"*DRAGHI: ALSO CITES EMERGING MARKETS, FINANCIAL VOLATILITY",EUR,negative
*DRAGHI: INFLATION TO SLOW OVER COMING MONTHS ON OIL,EUR,negative
*DRAGHI: UNDERLYING INFLATION REMAINS GENERALLY MUTED,EUR,negative
*DRAGHI: UNDERLYING INFLATION TO INCREASE IN MEDIUM TERM,EUR,positive
"*DRAGHI: LABOR-COST PRESSURES ARE STRENGTHENING, BROADENING",EUR,positive
Draghi Says Economic Risks Have Moved to the Downside: TOPLive,EUR,negative
*DRAGHI: RISING WAGE GROWTH TO UNDERPIN UNDERLYING INFLATION,EUR,positive
*DRAGHI: REFORM IMPLEMENTATION MUST BE STEPPED UP SUBSTANTIALLY,EUR,neutral
*DRAGHI: ECB DIDN'T DISCUSS IMPLICATION OF RISKS FOR GUIDANCE,EUR,neutral
*DRAGHI: TLTROS WERE MENTIONED BY SEVERAL OFFICIALS,EUR,negative
*DRAGHI: ECB DIDN'T TAKE A DECISION ON TLTROS,EUR,neutral
"*DRAGHI: SEE WAGES, LABOR-MARKET DATA MOVING IN RIGHT DIRECTION",EUR,positive
*DRAGHI: ECB WAS UNANIMOUS ON RISK ASSESSMENT,EUR,neutral
Draghi Sounds Economic Alarm With Risks Now Tilted to Downside,EUR,negative
*DRAGHI: PROTRACTED TALKS ON BREXIT IS RISK TO ECONOMY,EUR,negative
"*DRAGHI: IF RISKS PERSIST, MOMENTUM WILL BE WEAK FOR LONGER",EUR,negative
*DRAGHI: ECB GIVES ITSELF MORE TIME TO ASSESS RISKS,EUR,negative
*DRAGHI: ECB WILL HAVE ANOTHER DISCUSSION IN MARCH,EUR,neutral
Draghi Says Momentum Weak for Longer if Risks Persist: TOPLive,EUR,negative
BTPs Fade From Highs After ECB Answers TLTRO Question,EUR,positive
*DRAGHI: MARKETS HAVE UNDERSTOOD ECB REACTION FUNCTION,EUR,neutral
"*DRAGHI: ECB ONLY ASSESSING, NOT VALIDATING MARKET EXPECTATIONS",EUR,neutral
*DRAGHI: EURO-AREA FISCAL POLICY IS SLIGHTLY EXPANSIONARY,EUR,positive
TOPLive Starts: U.S. Enters Day 33 of Government Shutdown,USD,negative
TOPLive Starts: Live Coverage as U.S. Enters Day 34 of Shutdown,USD,negative
*DRAGHI: ECB HASN'T RUN OUT OF INSTRUMENTS,EUR,neutral
*DRAGHI: ECB HAS FULL TOOLBOX AVAILABLE,EUR,neutral
*DRAGHI: ECB NEEDS TO SEE MONETARY POLICY CASE FOR NEW TLTROS,EUR,neutral
"ECB Needs to See Case for New TLTROs, Has Full Toolbox: TOPLive",EUR,neutral
*DRAGHI: NO NEWS YET ON NEW APPOINTMENT OF SSM VICE CHAIR,EUR,neutral
Draghi Sounds Economic Alarm as Risks Tilt to the Downside (1),EUR,negative
Stock Futures Fluctuate; Euro Weakens on ECB: Markets Wrap,EUR,negative
*DRAGHI: EURO-AREA RECESSION NOT SEEN AS A `LIKELY EVENT',EUR,neutral
Spain Sovereign Update: Curve Shifts Lower,EUR,neutral
*DRAGHI: NO DOUBT ON GOVERNMENTS' COMMITMENT TO DEEPEN UNION,EUR,neutral
Stocks Open Mixed; Euro Climbs From Lows After ECB: Markets Wrap,EUR,positive
TOPLive Starts: U.S. Enters Day 32 of Government Shutdown,USD,negative
Merkel Appeals to Her Party for a Dignified Exit: Germany Update,EUR,neutral
Aussie Below Cloud as Bearish Momentum Builds: Major Techs,AUD,negative
*ECB ANNOUNCES NEW SERIES OF TARGETED LONGER-TERM LOANS,EUR,neutral
*ECB CHANGES FORWARD GUIDANCE ON INTEREST RATES,EUR,neutral
"*ECB CHANGES GUIDANCE, SEES RATES ON HOLD AT LEAST THROUGH 2019",EUR,neutral
*BUNDS EXTEND GAINS AFTER ECB DECISION,EUR,negative
*ECB TO REINVEST QE DEBT FOR EXTENDED TIME AFTER FIRST RATE HIKE,EUR,neutral
*ECB: NEW LOANS TO PRESERVE FAVORABLE LOAN CONDITIONS,EUR,neutral
*ECB: NEW LOANS TO SMOOTH TRANSMISSION OF POLICY,EUR,neutral
*ECB WILL START SERIES OF TWO-YEAR TLTROS IN SEPTEMBER,EUR,negative
*ECB: BANKS CAN BORROW UP TO 30% OF STOCK OF ELIGIBLE LOANS,EUR,positive
*ECB: INTEREST RATE ON NEW LOANS FIXED AT AVERAGE MRO RATE,EUR,neutral
*ECB TO COMMUNICATE DETAILS OF TLTRO3 PROGRAM IN DUE COURSE,EUR,negative
*ECB TO KEEP FIXED RATE FULL ALLOTMENT AS LONG AS NEEDED,EUR,neutral
*ECB: FIXED RATE FULL ALLOTMENT AT LEAST THROUGH MARCH 2021,EUR,neutral
"ECB Sees Rates on Hold All Year, Announces New Loans: TOPLive",EUR,negative
*ECB: LENDING OPS WITH FULL ALLOTMENT AT LEAST UNTIL MAR. 2021,EUR,neutral
Dovish ECB Sends Euro Lower; Italian Banks Cheer New TLTROs,EUR,negative
ECB Surprises Dovishly,EUR,negative
ECB Offers More Loans to Banks as Slowdown Derails Policy Exit,EUR,negative
"Euro Extends Losses as ECB Announces New TLTRO, Changes Guidance",EUR,negative
Stocks Dip; Euro Falls as ECB Holds Rates Steady: Markets Wrap,EUR,negative
"Euro Bears, Italy Bulls Buoyed by ECB Dovish Tone: Markets Live",EUR,negative
Euro Follow Through on ECB Disappoints Shorts: Markets Live,EUR,neutral
"XTX Markets Appoints Chairman of French Unit, Managing Director",EUR,neutral
"Loonie Gains With Oil, Outperforming Most of G-10: Inside Canada",CAD,positive
Stocks Mixed; Euro Dips as ECB Adds to Growth Fear: Markets Wrap,EUR,negative
ECB Unleashes Support Package for Economy Hurt by Slowdown (1),EUR,negative
"Euro Drops Before Draghi Briefing on ECB Outlook, Loans: TOPLive",EUR,neutral
"*U.S. JOBLESS CLAIMS FALL 3,000 TO 223,000; EST. 225,000",USD,positive
*U.S. 4Q PRODUCTIVITY RISES AT 1.9% ANNUAL PACE; EST. 1.5%,USD,positive
U.S. Productivity Gains Exceed Forecasts Even as Output Cools,USD,positive
"*U.S. INITIAL JOBLESS CLAIMS AT 223,000 LAST WEEK",USD,neutral
*U.S. CONTINUING JOBLESS CLAIMS AT 1.755MLN TWO WEEKS AGO,USD,neutral
"*U.S. CORN OLD CROP EXPORT SALES 969,700 TONS",USD,irrelevant
"*U.S. CORN TOTAL CROP EXPORT SALES 1,250,600 TONS",USD,irrelevant
"*U.S. SOYBEAN TOTAL CROP EXPORT SALES 383,400 TONS",USD,irrelevant
"*U.S. WHEAT TOTAL CROP EXPORT SALES 826,700 TONS",USD,irrelevant
"*U.S. SOYBEAN OLD CROP EXPORT SALES 311,400 TONS",USD,irrelevant
*DRAGHI: SOME SIGNS ONE-OFF FACTORS STARTING TO FADE,EUR,negative
*DRAGHI: UNDERLYING INFLATION REMAINS MUTED,EUR,negative
"*DRAGHI: REINVESTMENT, ENHANCED RATE GUIDANCE TO PROVIDE SUPPORT",EUR,negative
"*DRAGHI: INCOMING DATA REMAINS WEAK, PARTICULARLY MANUFACTURING",EUR,negative
*DRAGHI: NEAR-TERM GROWTH OUTLOOK WEAKER THAN ANTICIPATED,EUR,negative
*ECB SEES 2019 GDP GROWTH AT 1.1 VS. 1.7%,EUR,negative
"*DRAGHI: GLOBAL EXPANSION, THOUGH SLOWER, SET TO BOLSTER ECONOMY",EUR,neutral
*ECB SEES 2020 GDP GROWTH AT 1.6 VS. 1.7%,EUR,negative
*ECB SEES 2021 GDP GROWTH AT 1.5 VS. 1.5%,EUR,neutral
*ECB CUTS 2019 EURO-AREA GROWTH FORECAST TO 1.1% VS 1.7%,EUR,negative
ECB Cuts 2019 Euro-Area Growth Forecast to 1.1% From 1.7%,EUR,negative
*DRAGHI: UNDERLYING INFLATION REMAINS GENERALLY MUTED,EUR,negative
*DRAGHI: INFLATION TO DECLINE TOWARDS END OF YEAR,EUR,negative
"*DRAGHI: LABOR-COST PRESSURES SET TO STRENGTHEN, BROADEN",EUR,positive
*CORRECT: DRAGHI: LABOR-COST PRESSURES HAVE STRENGTHENED,EUR,positive
"ECB Cuts 2019 GDP Forecast, Says Risks Are to Downside: TOPLive",EUR,negative
*ECB SEES 2019 INFLATION AT 1.2 VS. 1.6%,EUR,negative
*ECB SEES 2020 INFLATION AT 1.5 VS. 1.7%,EUR,negative
*ECB SEES 2021 INFLATION AT 1.6 VS. 1.8%,EUR,negative
"*ECB CUTS ALL INFLATION FORECASTS, LOWERS 2021 TO 1.6% VS 1.8%",EUR,negative
"ECB Cuts All Inflation Forecasts, Lowers 2021 to 1.6% From 1.8%",EUR,negative
*DRAGHI: NEW MEASURES WILL ENSURE LENDING CONDITIONS FAVORABLE,EUR,neutral
*DRAGHI: REFORM IMPLEMENTATION MUST BE STEPPED UP SUBSTANTIALLY,EUR,neutral
*DRAGHI: TLTRO DESIGN BASED ON BANKS' FUNDING NEEDS,EUR,neutral
Euro Dribbles Lower As Draghi Sounds Downbeat Tone,EUR,negative
*DRAGHI: ECB WILL ANNOUNCE FULL TLTRO DETAIL IN DUE TIME,EUR,neutral
"Euro Extends Decline as Draghi Speaks, ECB Downgrades Outlook",EUR,negative
Draghi Says New ECB Measures Are Adding Accommodation: TOPLive,EUR,negative
*DRAGHI REPEATS ECB READY TO ACT AS NEEDED BASED ON THE DATA,EUR,neutral
*DRAGHI: ECB IN PERIOD OF PERVASIVE UNCERTAINTY,EUR,negative
Euro Halts While Bund Yields Give Up Floor on ECB: Markets Live,EUR,negative
*DRAGHI SAYS ECB MONETARY POLICY IS NOW EVEN MORE ACCOMMODATIVE,EUR,negative
*DRAGHI: WEAKER GROWTH WILL SLOW WAGE-INFLATION PASSTHROUGH,EUR,negative
"*DRAGHI: ECB ACTIONS CAN'T STOP IMPACT OF PROTECTIONISM, BREXIT",EUR,neutral
*DRAGHI: ECB ACTIONS WILL IMPROVE RESILIENCE OF ECONOMY,EUR,neutral
"Canada Backs Malpass as Head of World Bank, Morneau Says",CAD,neutral
*PORTUGAL CABINET APPROVES CHANGE TO BANK SUPERVISION LAW,EUR,neutral
Draghi Slashes ECB Outlook as Officials Inject More Stimulus,EUR,negative
Draghi Says ECB Decision on New Measures Was Unanimous,EUR,neutral
*DRAGHI SAYS FUTURE ECB DECISIONS TO DEPEND ON ECONOMIC OUTLOOK,EUR,neutral
"Stocks Fluctuate, Euro Falls as ECB Frets Growth: Markets Wrap",EUR,negative
*DRAGHI: ECB DISCUSSED IMPACT OF LONG PERIOD OF NEGATIVE RATES,EUR,neutral
Euro Falls as Market Questions If ECB Knows Something It Doesn't,EUR,negative
*MALMSTROM: EU TRADE NEGOTIATORS ARE WORLD'S MOST TRANSPARENT,EUR,neutral
*MALMSTROM SAYS SUPPORT FOR TRADE HAS RISEN AGAIN IN EUROPE,EUR,neutral
*DRAGHI SAYS DECISION ON SSM POSITIONS WILL HAPPEN `SOON',EUR,neutral
*MALMSTROM: CHINA IS AT CENTER OF GLOBAL ECONOMIC CHALLENGES,CNY,negative
*RBC HIRES MICHELLE NEAL FROM BNY MELLON TO HEAD U.S. FICC,USD,irrelevant
Draghi Says ECB Trying to Be Proactive Amid Uncertainty: TOPLive,EUR,neutral
"*MALMSTROM: U.S. THREATENING TO BREAK WTO, MUST FIX APPEALS BODY",USD,neutral
*DRAGHI SAYS THERE WAS NO DISCUSSION ABOUT CUTTING DEPOSIT RATE,EUR,neutral
*DRAGHI: ITALY IS ONE FACTOR BEHIND EURO-AREA SLOWDOWN,EUR,negative
Spain Curve Shifts Lower: Sovereign Update,EUR,neutral
Stock Gains Hailed by Draghi Have a Defensive Tone: Markets Live,EUR,neutral
Draghi Slashes ECB Outlook as Officials Inject More Stimulus (1),EUR,negative
"Stocks Dip, Euro Weakens as ECB Frets About Growth: Markets Wrap",EUR,negative
European Bank Declines Highlight Down Day Courtesy of ECB,EUR,negative
Portuguese Cabinet Approves Proposal to Change Bank Supervision,EUR,neutral
Stocks Sink With Euro as ECB Frets About Growth: Markets Wrap,EUR,negative
*ECB MAKES NO REFERENCE TO TLTROS IN POLICY DECISION,EUR,positive
ECB Reiterates Plan to Keep Rates on Hold at Least Through 2019,EUR,neutral
ECB Keeps Policy Unchanged as Euro-Area Economy Faces New Risks,EUR,negative
ECB Sees Interest Rates on Hold at Least Through 2019: TOPLive,EUR,neutral
Euro Keeps Gains on Neutral ECB Statement,EUR,positive
ECB Buys Time to Assess Economy as Rates Remain on Hold: TOPLive,EUR,neutral
Risk Sentiment Intact as ECB Reveals No Suprises: Markets Live,EUR,neutral
Risk Sentiment Intact as ECB Reveals No Surprises: Markets Live,EUR,neutral
Wall Street Economists Strike Cheerful Note as U.S. Data Rebound,USD,positive
"Draghi Set to Comment on Economy, ECB Outlook for Rates: TOPLive",EUR,neutral
*U.S. MARCH CONSUMER PRICES RISE 0.4% M/M; CORE UP 0.1%,USD,positive
U.S. Core Inflation Unexpectedly Cools Amid Apparel Data Shift,USD,negative
*U.S. CONSUMER PRICES ROSE 0.4 % IN MARCH,USD,positive
*U.S. MARCH CONSUMER PRICES INCREASE 1.9 % FROM YEAR AGO,USD,positive
*DOLLAR WEAKENS AFTER U.S. CPI DATA,USD,negative
*U.S. MARCH CORE CONSUMER PRICES 2 % FROM PREVIOUS YEAR,USD,neutral
*U.S. MARCH CONSUMER PRICES 0.4 % VS PREVIOUS MONTH,USD,neutral
*U.S. MARCH CONSUMER PRICES 1.9 % FROM YEAR AGO,USD,neutral
*U.S. MARCH CORE CONSUMER PRICES 0.1 % VS PREVIOUS MONTH,USD,neutral
*DRAGHI: ECB READY TO ADJUST ALL INSTRUMENTS IF NEEDED,EUR,neutral
*DRAGHI: DETAILS ON TLTRO3 TO BE COMMUNICATED IN FUTURE,EUR,neutral
"*DRAGHI: TLTRO DETAILS TO DEPEND ON ECONOMY, TRANSMISSION",EUR,neutral
*DRAGHI: SLOWER GROWTH MOMENTUM EXTENDING INTO CURRENT YEAR,EUR,negative
*DRAGHI: SOME FACTORS DAMPING GROWTH ARE FADING,EUR,neutral
*DRAGHI: GLOBAL HEADWINDS WEIGH ON ECONOMIC DEVELOPMENTS,EUR,negative
"*DRAGHI: GEOPOLITICS, PROTECTIONISM ARE DAMPING SENTIMENT",EUR,negative
"*DRAGHI: EMPLOYMENT GAINS, WAGES UNDERPIN ECONOMY",EUR,positive
*DRAGHI: INCOMING DATA WEAK ESPECIALLY IN MANUFACTURING,EUR,negative
ECB Will Consider if Negative Rates Need Mitigating: TOPLive,EUR,neutral
*DRAGHI: EFFECT OF TEMPORARY FACTORS TO UNWIND,EUR,neutral
*DRAGHI: TEMPORARY FACTORS LONGER LASTING THAN ANTICIPATED,EUR,neutral
*DRAGHI: INFLATION LIKELY TO DECLINE OVER COMING MONTHS,EUR,negative
*DRAGHI: UNDERLYING INFLATION CONTINUES TO BE MUTED,EUR,negative
*DRAGHI: LABOR-COST PRESSURES STRENGTHENED IN TIGHT JOBS MARKET,EUR,positive
*DRAGHI: UNDERLYING INFLATION TO INCREASE OVER MEDIUM TERM,EUR,positive
U.S. CPI Looks Distorted By Crazy Drop in Clothing Prices,USD,neutral
*DRAGHI: REFORM IMPLEMENTATION MUST BE STEPPED UP SUBSTANTIALLY,EUR,neutral
*DRAGHI: MILDLY EXPANSIONARY FISCAL POLICIES SUPPORT ECONOMY,EUR,positive
"Dollar, Treasuries Steady; U.S. Stock Futures Rise: Markets Wrap",USD,positive
Short-End First Read on Draghi Is Slightly Dovish,EUR,negative
*DRAGHI: TOO EARLY TO COMMIT TO TLTRO DETAILS,EUR,neutral
*DRAGHI: CONSENSUS ON NEED FOR FURTHER ANALYSIS ON TLTROS,EUR,neutral
*DRAGHI: ECB ANALYZED DROP IN INFLATION EXPECTATIONS,EUR,negative
*DRAGHI: INFLATION EXPECTATIONS SLIDING WITH ECONOMIC ACTIVITY,EUR,negative
European Banks Get Boost on Possibility of Tiered Rates,EUR,positive
*DRAGHI: INFLATION EXPECTATIONS AREN'T DEANCHORING,EUR,neutral
*DRAGHI: ECB HAS PLENTY OF INSTRUMENTS,EUR,neutral
*DRAGHI: MARKETS FULLY UNDERSTAND ECB REACION FUNCTION,EUR,neutral
*DRAGHI: ECB FULLY COMMITTED TO RETURNING INFLATION TO GOAL,EUR,positive
*DRAGHI: TRADE THREATS HAVE DAMPED GLOBAL ECONOMIC MOMENTUM,EUR,negative
*DRAGHI: ECB HASN'T DISCUSSED PROS AND CONS OF MITIGATING TOOLS,EUR,neutral
Euro Under Pressure as Draghi Seeks Way to Mitigate Low Rates,EUR,negative
Draghi Warns Global Risks Still Battering Euro-Area Economy,EUR,negative
"Dollar, Treasuries Steady; U.S. Stock Futures Rise: Markets Wrap",USD,positive
*DRAGHI: NOW NOT TIME TO REVIEW COMPOSITION OF ECB MEASURES,EUR,neutral
*DRAGHI: ECB IS ACKNOWLEDGING WEAKENING OF ECONOMIC CYCLE,EUR,negative
*DRAGHI: ESTIMATED PROBABILITY OF RECESSION REMAINS LOW,EUR,positive
*DRAGHI: ECB WOULD LIKE TO SEE MORE CROSS-BORDER LENDING,EUR,neutral
Draghi Says Probability of Recession Remains Low: TOPLive,EUR,positive
"Draghi Walks the FX Market Tightrope With Aplomb, Again",EUR,neutral
"U.K. Economy Likely Grew 0.4% in First Quarter, Niesr Says",GBP,positive
Draghi Says Estimated Probability of Recession Remains Low,EUR,positive
*DRAGHI: BREXIT DISCUSSION CONTRIBUTES TO ECONOMIC UNCERTAINTY,EUR,negative
"*DRAGHI: PRIORITY FOR ITALY IS TO RESTORE GROWTH, EMPLOYMENT",EUR,neutral
*DRAGHI: MERSCH IS GREAT ADDITION TO SSM TEAM,EUR,neutral
"Eyes on Fed Minutes, Brexit; Stocks, Crude Rise: Colombia Today",USD,neutral
*DRAGHI: NEED FOR BANK CONSOLIDATION IS VERY SIGNIFICANT,EUR,neutral
*DRAGHI: EUROPEAN BANKING SYSTEM IS OVERCROWDED,EUR,neutral
Draghi Say Brexit Discussion Contributes to Economic Uncertainty,EUR,negative
Spain Curve Shifts Lower: Sovereign Update,EUR,neutral
